"H","6","5","4","4","3","3","2","2","1","5","4","3","5","4","3","2","6","5"
"C","7","7","7","6","5","6","4","5","4","6","5","4","7","6","5","4","8","8"
"O","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1"
"CH","4","4","3","5","6","4","7","5","6","5","6","7","3","4","5","6","3","2"
"NH","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"OH"," ","1","1","1","1","1","1","1","1"," "," "," "," "," "," "," ","1","1"
"CH2"," "," ","1"," "," ","1"," ","1","1"," "," "," ","1","1","1","1"," ","1"
