"H","8","7","6","6","6","5","5","5","5","4","4","4","4","3","3","3","3","7","6"
"C","7","7","6","7","7","5","6","6","7","4","5","5","6","3","4","4","5","6","6"
"O","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"N","1","1","1","1"," ","1","1"," "," ","1"," ","1"," ","1"," ","1"," ","1","1"
"CH","2","2","3","1","2","4","2","3","1","5","4","3","2","6","5","4","3","3","2"
"OH","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"CH2"," "," "," ","1"," "," ","1"," ","1"," "," ","1","1"," "," ","1","1"," ","1"
"NH"," "," "," "," ","1"," "," ","1","1"," ","1"," ","1"," ","1"," ","1"," "," "
