"H","8","7","7","7","6","6","6","6","5","5","5","4","8","7","7","7","6","6","6","5","6","5","5","4","5","4","4","3","4","3","3"
"C","2","2","2","1","1","2","1","1","1","1","1","1","3","3","3","2","2","3","2","2","2","2","1","1","2","2","1","1","1","1","1"
"O","2","1","2","2","2","1","1","2","1","2","1","1","2","1","2","2","2","1","1","1","2","2","2","2","1","1","1","1","2","2","1"
"N","1","1"," ","1","1"," ","1"," ","1"," "," "," ","1","1"," ","1","1"," ","1","1"," "," ","1","1"," "," ","1","1"," "," "," "
"CH","4","4","4","5","4","4","5","5","4","4","5","4","2","2","2","3","2","2","3","2","3","2","3","2","3","2","3","2","3","2","3"
"CH3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"CH2"," "," "," "," ","1"," "," "," ","1","1"," ","1","1","1","1","1","2","1","1","2","1","2","2","3","1","2","2","3","2","3","2"
"OH"," ","1"," "," "," ","1","1"," ","1"," ","1","1"," ","1"," "," "," ","1","1","1"," "," "," "," ","1","1","1","1"," "," ","1"
"NH"," "," ","1"," "," ","1"," ","1"," ","1","1","1"," "," ","1"," "," ","1"," "," ","1","1"," "," ","1","1"," "," ","1","1","1"
