"H","6","6","5","5","5","5","4","4","4","4","3","3","3","7","6","7","8","7",""
"C","6","5","4","5","5","6","3","4","4","5","3","3","4","7","7","7","8","8",""
"O","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1",""
"N"," ","1","1"," ","1"," ","1"," ","1"," "," ","1"," ","1"," "," "," "," ",""
"CH","3","4","5","4","3","2","6","5","4","3","6","5","4","1","1","2","1","1",""
"OH","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2",""
"CH2"," "," "," "," ","1","1"," "," ","1","1"," ","1","1","1","1"," "," "," ",""
"NH","1"," "," ","1"," ","1"," ","1"," ","1","1"," ","1"," ","1","1","1","1",""
