"H","6","5","5","5","5","4","4","4","4","4","4","4","6","5","",""
"C","2","2","1","2","2","2","1","2","2","1","1","2","3","3","",""
"O","2","1","2","2","2","2","1","1","1","2","2","2","2","1","",""
"N","1","1","1","","1","1","1","","1","","1","","","","",""
"CH","1","1","2","1","","","2","1","","2","1","","","","",""
"CH2","","","","","1","","","","1","","1","1","","","",""
"CH3","","","","","","1","","","","","","","","","",""
"OH","","1","","","","","1","1","1","","","","","1","",""
"NH","","","","1","","","","1","","1","","1","1","1","",""
