"H","6","5","4","4","4","3","3","3","2","3","2","2","5","4","4","3","3","2","5","4","3","2","5","","","","","","4"
"C","2","2","1","2","2","2","1","1","1","2","2","1","1","1","1","1","1","1","2","2","2","1","2","","","","","","2"
"O","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","","","","","","2"
"N","1","1","1","","1","1","","1","1","","","","1","","1","1","","","","","","","1","","","","","","1"
"CH","2","2","3","2","1","1","3","2","2","1","1","2","3","3","2","2","2","2","2","1","1","2","1","","","","","","1"
"CH3","1","1","1","1","1","2","1","1","2","1","2","1","1","1","1","2","1","2","1","1","2","2","1","","","","","","2"
"CH2","","","","","1","","","1","","1","","1","","","1","","1","","","1","","","1","","","","","",""
"OH","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","",""
"NH","","","","1","","","1","","","1","1","1","","1","","","1","1","1","1","1","1","","","","","","",""
