"H","4","5","6","6","5","6","7","7","3","4","5","5","4","5","6","6","2","3","4","4","3","4","5","5"
"C","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2"
"N","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"O","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"CH2","2","1","1","","2","2","1","","2","1","1","","2","2","1","","2","1","1","","2","2","1",""
"C6H5","2","2","1","2","1","","","1","2","2","1","2","1","","","1","2","2","1","2","1","","","1"
"CH","","1","1","2","","","1","2","1","2","2","3","1","1","2","3","2","3","3","4","2","2","3","4"
"C6H4","","","1","","1","2","2","1","","","1","","1","2","2","1","","","1","","1","2","2","1"
